Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,15.580000,15.580000,15.325000,15.469000,15.400795,47700
2020-02-06,15.550000,15.550000,15.360000,15.500000,15.431658,38800
2020-02-07,15.350000,15.350000,15.200000,15.200000,15.132980,17800
2020-02-10,15.210000,15.375000,15.210000,15.375000,15.307209,22900
2020-02-11,15.560000,15.640000,15.420000,15.590000,15.521261,34900
2020-02-12,15.780000,15.870000,15.777000,15.850000,15.780115,40800
2020-02-13,15.740000,15.790000,15.600000,15.750000,15.680555,44800
2020-02-14,15.810000,15.816000,15.610000,15.675000,15.605886,19000
2020-02-18,15.550000,15.700000,15.550000,15.620000,15.551129,25100
2020-02-19,15.800000,15.900000,15.800000,15.875000,15.805005,14900
2020-02-20,15.890000,15.980000,15.670000,15.820000,15.750247,25700
2020-02-21,15.760000,15.760000,15.430000,15.475000,15.406769,29600
2020-02-24,14.860000,14.870000,14.610000,14.770000,14.704878,38100
2020-02-25,14.920000,14.920000,14.300000,14.312000,14.248897,36200
2020-02-26,14.370000,14.630000,14.266000,14.350000,14.286729,23800
2020-02-27,13.960000,14.105000,13.650000,13.677000,13.616696,32300
2020-02-28,13.200000,13.670000,13.130000,13.640000,13.579860,41300
2020-03-02,13.840000,14.160000,13.592000,14.160000,14.097567,19300
2020-03-03,14.250000,14.269000,13.680000,13.870000,13.808845,20000
2020-03-04,14.030000,14.250000,13.945000,14.230000,14.167257,8300
2020-03-05,13.800000,13.969000,13.645000,13.645000,13.584838,10500
2020-03-06,13.230000,13.500000,13.170000,13.345000,13.286160,9300
2020-03-09,12.340000,12.510000,12.160000,12.180000,12.126297,24100
2020-03-10,12.750000,12.930000,12.256000,12.930000,12.872991,12000
2020-03-11,12.550000,12.558000,12.085000,12.213000,12.159152,12500
2020-03-12,11.920000,11.997000,10.710000,10.900000,10.851940,32200
2020-03-13,11.560000,11.680000,10.880000,11.645000,11.593656,16500
2020-03-16,9.590000,10.870000,9.590000,10.250000,10.204806,49400
2020-03-17,10.250000,10.720000,9.820000,9.820000,9.776702,61000
2020-03-18,9.750000,10.184000,9.320000,9.900000,9.856349,22500
2020-03-19,9.780000,10.130000,9.695000,10.081000,10.036552,8900
2020-03-20,10.210000,10.470000,9.810000,9.820000,9.776702,22200
2020-03-23,9.770000,9.885000,9.510000,9.770000,9.726923,21100
2020-03-24,10.505000,10.856000,10.396000,10.800000,10.752381,19900
2020-03-25,10.920000,11.460000,10.730000,11.074000,11.025173,23900
2020-03-26,11.210000,11.620000,11.200000,11.562000,11.511022,14200
2020-03-27,11.050000,11.290000,10.975000,11.240000,11.190441,26000
2020-03-30,10.920000,11.227000,10.920000,11.190000,11.140661,24600
2020-03-31,11.220000,11.330000,11.013000,11.060000,11.011235,78900
2020-04-01,10.707000,10.867000,10.500000,10.520000,10.473616,11800
2020-04-02,10.570000,10.785000,10.501000,10.611000,10.564215,4800
2020-04-03,10.640000,10.848000,10.420000,10.470000,10.423837,7400
2020-04-06,10.960000,11.445000,10.960000,11.415000,11.364669,8700
2020-04-07,11.800000,11.900000,11.500000,11.580000,11.528942,15700
2020-04-08,11.580000,11.790000,11.580000,11.760000,11.708148,6300
2020-04-09,11.950000,12.180000,11.899000,11.935000,11.882377,13300
2020-04-13,11.950000,11.950000,11.720000,11.878000,11.825628,16100
2020-04-14,12.110000,12.340000,12.110000,12.330000,12.275635,12300
2020-04-15,12.030000,12.030000,11.793000,11.884000,11.831601,11400
2020-04-16,12.000000,12.009000,11.893000,11.944000,11.891337,6200
2020-04-17,12.250000,12.360000,12.150000,12.276000,12.221873,13600
2020-04-20,12.110000,12.250000,12.031000,12.053000,11.999857,15700
2020-04-21,11.800000,11.800000,11.510000,11.550000,11.499075,23800
2020-04-22,11.760000,11.950000,11.760000,11.940000,11.887355,13000
2020-04-23,11.920000,12.170000,11.920000,11.950000,11.897310,10900
2020-04-24,12.040000,12.180000,11.920000,12.141000,12.087469,14300
2020-04-27,12.330000,12.489000,12.253000,12.480000,12.424973,21900
2020-04-28,12.680000,12.739000,12.447000,12.447000,12.392118,13000
2020-04-29,12.741000,13.000000,12.741000,12.930000,12.872991,13300
2020-04-30,12.930000,12.930000,12.640000,12.693000,12.637034,11200
2020-05-01,12.430000,12.430000,12.080000,12.143000,12.089459,17900
2020-05-04,12.000000,12.218000,11.980000,12.218000,12.164129,7900
2020-05-05,12.420000,12.546000,12.300000,12.310000,12.255724,9000
2020-05-06,12.420000,12.480000,12.310000,12.310000,12.255724,8800
2020-05-07,12.520000,12.550000,12.430000,12.430000,12.375195,17300
2020-05-08,12.640000,12.838000,12.640000,12.805000,12.748542,8500
2020-05-11,12.870000,12.940000,12.765000,12.890000,12.833166,27400
2020-05-12,13.000000,13.000000,12.559000,12.559000,12.503626,15300
2020-05-13,12.520000,12.570000,12.126000,12.220000,12.166120,11200
2020-05-14,12.090000,12.393000,11.890000,12.366000,12.311477,7100
2020-05-15,12.160000,12.390000,12.160000,12.390000,12.335371,6100
2020-05-18,12.740000,13.071000,12.740000,13.017000,12.959607,16200
2020-05-19,13.030000,13.190000,12.940000,12.974000,12.916796,17800
2020-05-20,13.205000,13.340000,13.205000,13.280000,13.221446,8400
2020-05-21,13.290000,13.290000,13.070000,13.115000,13.057174,24600
2020-05-22,13.120000,13.120000,13.000000,13.083000,13.025315,10700
2020-05-26,13.460000,13.600000,13.438000,13.438000,13.378750,27600
2020-05-27,13.620000,13.720000,13.345000,13.720000,13.659507,63400
2020-05-28,13.720000,13.785000,13.430000,13.430000,13.370785,14300
2020-05-29,13.470000,13.570000,13.330000,13.515000,13.455411,9400
2020-06-01,13.700000,13.798000,13.640000,13.771000,13.710281,11800
2020-06-02,13.780000,13.940000,13.780000,13.910000,13.848668,14100
2020-06-03,14.100000,14.350000,14.100000,14.291000,14.227989,19100
2020-06-04,14.260000,14.451000,14.220000,14.333000,14.269804,21100
2020-06-05,14.820000,14.960000,14.800000,14.816000,14.750674,31000
2020-06-08,15.030000,15.110000,14.850000,15.110000,15.043377,42500
2020-06-09,14.960000,14.980000,14.740000,14.896000,14.830321,47500
2020-06-10,15.000000,15.110000,14.830000,14.960000,14.894039,34100
2020-06-11,14.410000,14.444000,13.770000,13.770000,13.709287,68200
2020-06-12,14.250000,14.335000,13.840000,14.120000,14.057742,22100
2020-06-15,13.680000,14.300000,13.640000,14.210000,14.147346,27100
2020-06-16,14.640000,14.770000,14.300000,14.410000,14.346464,15900
2020-06-17,14.590000,14.590000,14.393000,14.411000,14.347460,11800
